"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Repo tests","Authentication repo integration tests","Sing in","0","0","3","0","0"
"Client component tests","EmailDetails","Render no email","0","0","1","0","0"
"Service tests","Authentication tests","Sign in","0","0","1","0","0"
"Client component tests","EmailEditor","Just render data","0","0","1","0","0"
"","","","0","0","8","0","0"
"Client component tests","LoginPage","$Failed Sign in via button","0","0","1","0","0"
"Client component tests","LoginPage","Displaying credentials","0","0","1","0","0"
"Client unit tests","getEmailDate","Month with leading zeros","0","0","1","0","0"
"Client component tests","App","Selecting sent mailbox","0","0","1","0","0"
"Service tests","Post tests","Getting mailbox","0","0","2","0","0"
"Client component tests","EmailEditor","Null controller response","0","0","1","0","0"
"Client component tests","Sidebar","Clicking write","0","0","1","0","0"
"Client component tests","EmailListItem","Render unselected email","0","0","1","0","0"
"Client component tests","LoginPage","$Failed Sign up via button","0","0","1","0","0"
"Controller tests","Authentication tests","Sign up","0","0","1","0","0"
"Controller tests","Authentication tests","Sign in","0","0","1","0","0"
"Client unit tests","toInternalEmail","Sent email","0","0","1","0","0"
"Client component tests","LoginPage","Successful Sign in via button","0","0","1","0","0"
"Client component tests","EmailList","Render empty list","0","0","1","0","0"
"Repo tests","Authentication repo integration tests","Sing up","0","0","2","0","0"
"Client component tests","EmailList","Selecting email from list","0","0","1","0","0"
"Client component tests","MailboxList","Selecting mailbox","0","0","1","0","0"
"Repo tests","Post tests","Sending email","0","0","1","0","0"
"Repo tests","Authentication tests","Sign in","0","0","1","0","0"
"Client component tests","MainWindow","Initial login page","0","0","1","0","0"
"Client component tests","LoginPage","Failed sing in via form","0","0","1","0","0"
"Client unit tests","getEmailTime","Hours with leading zeros","0","0","1","0","0"
"Client component tests","LoginPage","Successful sing in via form","0","0","1","0","0"
"Client unit tests","getEmailTime","Same time for different dates","0","0","1","0","0"
"Client unit tests","getEmailTime","Minutes with leading zeros","0","0","1","0","0"
"Client component tests","EmailListItem","Render selected email","0","0","1","0","0"
"Client component tests","App","Opening editor","0","0","1","0","0"
"Client unit tests","getEmailDate","Date with leading zeros","0","0","1","0","0"
"Repo tests","Post repo integration tests","Sending email","0","0","1","0","0"
"Repo tests","Post tests","Getting mailbox","0","0","2","0","0"
"Client component tests","App","Selecting email from active mailbox","0","0","1","0","0"
"Client component tests","EmailList","Render non-empty list","0","0","1","0","0"
"Repo tests","Post repo integration tests","Getting mailboxes","0","0","1","0","0"
"Client unit tests","getEmailDate","Same date for different time","0","0","1","0","0"
"Client unit tests","getEmailTime","Get correct time","0","0","1","0","0"
"Service tests","Authentication tests","Sign up","0","0","1","0","0"
"Service tests","Post tests","Sending email","0","0","1","0","0"
"Client component tests","EmailDetails","Render email","0","0","1","0","0"
"Client unit tests","getEmailDate","Get correct date","0","0","1","0","0"
"Client component tests","App","Render initial app","0","0","1","0","0"
"Client component tests","EmailListItem","Click on unselected email","0","0","1","0","0"
"Client component tests","LoginPage","Successful Sign up via button","0","0","1","0","0"
"Client component tests","MainWindow","Successful login","0","0","1","0","0"
"Client component tests","App","Updating mailbox after writing email","0","0","1","0","0"
"Client component tests","EmailEditor","Sending email","0","0","1","0","0"
"Client unit tests","toInternalEmail","Inbox email","0","0","1","0","0"
"Repo tests","Authentication tests","Sign up","0","0","1","0","0"
